"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"British American Tobacco PLC","1.44","EQUITY","BATS","Large Growth","2016-12-31","3326090","490659","Consumer Defensive","226649573","4960","-362|-6.8%","5500.77-4591","19707484","5643.6-2879.89","United Kingdom","-4.89","7.25","15.26","11.21","113757.89","GBX","2","9.88","21.83","-","-","-"
"Sampo Oyj A","1.43","EQUITY","SAMPO","Large Value","2016-06-30","4375097","-46745","Financial Services","224466988","46.18","-0.28|-0.6%","46.35-45.88","353563","47.46-35.93","Finland","4.98","31.28","11.81","20.68","25860.8","EUR","-","13.83","15.5","-","-","-"
"Housing Development Finance Corp Ltd","1.38","EQUITY","HDFC","Large Growth","2009-03-31","8710827","-401616","Financial Services","217133591","1785.35","57.15|3.31%","1799.2-1709.1","7936274","1799.2-1183.15","India","17.12","28.61","19.84","22.54","2841414.75","INR","-","42.83","26.32","-","-","-"
"Astellas Pharma Inc","1.37","EQUITY","4503","Large Growth","2015-06-30","17505900","581200","Healthcare","214564613","1403","20|1.45%","1410.5-1386.5","6522100","1779-1331.5","Japan","-5.79","-16.38","1.5","16.24","2738348.5","JPY","-","-13.77","13.36","-","-","-"
"Total SA","1.35","EQUITY","FP","Large Value","2017-03-31","4276726","-19496","Energy","212326705","42.99","-0.01|-0.02%","43.05-42.5","6375988","49.5-40.53","France","-7.55","6.96","-0.95","8.06","105039.61","EUR","3","-9.24","17.33","-","-","-"
"Samsung Electronics Co Ltd","1.35","EQUITY","005930","Large Core","2016-06-30","101649","-2417","Technology","211716823","2409000","21000|0.88%","2412000-2346000","127160","2566000-1456000","South Korea","7.35","61.21","22.08","15.12","367898944","KRW","3","33.3","13.62","-","-","-"
"Seven & i Holdings Co Ltd","1.33","EQUITY","3382","Large Growth","2016-03-31","5068900","-213500","Consumer Defensive","209165305","4448","-42|-0.94%","4515-4443","1090100","4902-4148","Japan","-4.67","7.26","2.45","14.46","3970969.5","JPY","3","1.84","45.57","-","-","-"
"Amadeus IT Group SA A","1.25","EQUITY","AMS","Large Growth","2014-09-30","3282459","-203037","Technology","196211450","52.76","-1.9|-3.48%","54.44-52.44","1049065","55.57-39.69","Spain","7.68","34.62","22.22","26.77","23072.34","EUR","2","24.39","26.25","-","-","-"
"Julius Baer Gruppe AG","1.23","EQUITY","BAER","Large Growth","2009-09-30","3656554","104988","Financial Services","193198544","54.1","-0.55|-1.01%","54.4-53.4","1102341","54.7-45.04","Switzerland","4.34","35.76","12","10.41","11764.72","CHF","3","19.61","19.25","-","-","-"
"Mitsubishi Electric Corp","1.21","EQUITY","6503","Large Core","2015-09-30","13166700","388000","Technology","190424709","1688.5","-16.5|-0.97%","1717-1687","2731100","1802-1148.5","Japan","9.72","46.22","9.59","24.68","3660257.75","JPY","-","5.74","17.39","-","-","-"
"Sumitomo Corp","1.18","EQUITY","8053","Large Value","2013-06-30","14252400","-708700","Industrials","185853706","1488","8.5|0.57%","1488-1476.5","842700","1576-995.1","Japan","-0.6","40.06","5.15","9.38","1846814.25","JPY","-","9.38","10.81","-","-","-"
"Vodafone Group PLC","1.18","EQUITY","VOD","Large Growth","2015-12-31","65086597","-17035728","Communication Services","184842836","220.3","-2.45|-1.1%","226.13-219.45","47652283","240.1-186.5","United Kingdom","15.04","1.43","8.17","7.18","58648.44","GBX","3","14.58","-","-","-","-"
"Japan Tobacco Inc","1.18","EQUITY","2914","Large Value","2012-12-31","5252800","669200","Consumer Defensive","184625990","3822","-73|-1.87%","3848-3806","3279100","4243-3607","Japan","6.99","-0.62","5.49","13.16","6975773.5","JPY","-","3.15","18.28","-","-","-"
"Fresenius SE & Co KGaA","1.16","EQUITY","FRE","Large Growth","2011-03-31","2128918","15721","Healthcare","182773884","72.25","-1.01|-1.38%","72.84-72.15","988162","80.07-63.62","Germany","-2.07","7.91","26.97","20.7","39990.19","EUR","2","-1.87","23.53","-","-","-"
"Erste Group Bank AG","1.13","EQUITY","EBS","Large Value","2017-03-31","4637074","724940","Financial Services","177621889","35.5","-0.24|-0.67%","35.79-35.15","364246","35.93-22.53","Austria","11.21","54.33","24.27","20.3","14537.04","EUR","-","31.18","12.24","-","-","-"
