"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Compass Group PLC","0.64","EQUITY","CPG","Large Growth","2015-06-30","2886927","46547","Consumer Cyclical","54506350","1605","1|0.06%","1613-1599.75","628082","1765.92-1350.96","United Kingdom","3.63","14.06","18.88","19.72","25365.88","GBX","3","8.97","22.92","-","-","-"
"BB Seguridade Participacoes SA","0.63","EQUITY","BBSE3","Large Value","2013-06-30","5801000","93500","Financial Services","54107583","27.7","-0.14|-0.5%","27.91-27.53","3294200","32.7-25.54","Brazil","-7.33","0.1","-2.58","-","55305.7","BRL","-","0.89","13.65","-","-","-"
"Ryohin Keikaku Co Ltd","0.62","EQUITY","7453","Large Growth","2013-12-31","243400","3900","Consumer Cyclical","53505552","28200","-300|-1.05%","28390-28130","131600","30900-18230","Japan","12.17","24.26","32.38","47.05","753027","JPY","-","23.77","29.04","-","-","-"
"Banco de Sabadell S.A","0.62","EQUITY","SAB","Large Value","2016-12-31","28956274","0","Financial Services","53055838","1.9","0.01|0.69%","1.92-1.89","9806905","1.96-1.07","Spain","6.74","62.2","-0.19","12.47","10586.16","EUR","-","44.75","16.4","-","-","-"
"LG Electronics Inc","0.61","EQUITY","066570","Large Value","2016-12-31","864991","0","Technology","52547800","67100","400|0.6%","67600-66500","659263","88900-44700","South Korea","-2.89","26.17","-3.83","1.94","11455442","KRW","-","30.04","158.06","-","-","-"
"Wolseley PLC","0.61","EQUITY","WOS","Mid Core","2013-03-31","833235","13434","Industrials","52462266","4544","44|0.98%","4578-4526","416262","5285-4089","United States","-8.24","10.58","15.35","15.36","11395.4","GBX","2","-8.57","25.35","-","-","-"
"Turkcell Iletisim Hizmetleri AS","0.6","EQUITY","TCELL","Mid Core","2012-09-30","15716294","5290097","Communication Services","51772329","-","-","-","-","-","-","8.82","29.48","3.85","8.22","28710","TRY","-","38.51","16.52","-","-","-"
"E.ON SE","0.58","EQUITY","EOAN","Large Value","2015-06-30","6285881","0","Utilities","49973590","8.38","0.12|1.4%","8.41-8.24","3163706","9.69-5.99","Germany","18.37","1.29","-10.95","-7.07","17783.92","EUR","4","26.45","-","-","-","-"
"Suncor Energy Inc","0.58","EQUITY","SU","Large Value","2016-12-31","1626300","424300","Energy","49931819","40.36","0.59|1.48%","40.57-39.4","2625793","44.9-33.76","Canada","-4.91","18.16","-1.1","7.28","66971.99","CAD","3","-6.61","24.46","-","-","-"
"Bayer AG","0.58","EQUITY","BAYN","Large Core","2009-07-31","433237","0","Healthcare","49914914","108.05","0.35|0.32%","108.3-107.5","570036","123.9-86.03","Germany","-5.19","17.06","5.06","13.93","89062.28","EUR","4","11.37","20.48","-","-","-"
