"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Sberbank of Russia PJSC","0.56","EQUITY","SBER","Large Core","2011-03-31","253487","30584","Financial Services","626367","165.4","-0.6|-0.36%","165.75-163.15","50132680","185.34-134.27","Russia","3.75","25.25","33.64","14.99","3563195.75","RUB","-","-1.07","6.62","-","-","-"
"America Movil SAB de CV Class L","0.5","EQUITY","AMX L","Large Growth","2003-05-31","703168","74207","Communication Services","565672","15.89","0.29|1.86%","15.95-15.51","34106079","15.95-10.4","Mexico","10.85","46.43","2.8","-0.63","1048831.12","MXN","-","23.1","22.7","-","-","-"
"China Life Insurance Co Ltd H Shares","0.48","EQUITY","02628","Large Core","2004-03-31","178260","18765","Financial Services","544774","24.7","-","24.8-24.55","8018164","26.2-17.24","China","5.59","38.89","5.38","4.64","857366.44","HKD","3","23.62","30.96","-","-","-"
"Fomento Economico Mexicano SAB de CV Units (1 Series B, 4 Series D)","0.45","EQUITY","FEMSA UBD","-","2004-06-30","51959","5480","Consumer Defensive","511778","180.03","0.63|0.35%","180.5-177.81","1829966","184.1-28.35","Mexico","7.03","7.31","14.38","9.96","3220940.5","MXN","-","15","168.01","-","-","-"
"China Petroleum & Chemical Corp H Shares","0.43","EQUITY","00386","Large Value","2004-09-30","621857","65524","Energy","486915","6","0.07|1.18%","6.01-5.91","10373801","6.57-5.18","China","-2.78","9.65","-4.1","6.75","827719.94","HKD","3","11.36","10.73","-","-","-"
"Ambev SA","0.4","EQUITY","ABEV3","Large Core","2013-11-30","80611","2638","Consumer Defensive","445530","19.1","-0.01|-0.05%","19.22-18.92","10988300","20.09-15.79","Brazil","5.48","1.39","8.9","11.26","300007.06","BRL","3","17.87","25.47","-","-","-"
"Itau Unibanco Holding SA","0.39","EQUITY","ITUB4","Large Value","2012-12-31","40018","3988","Financial Services","443920","37.1","0.14|0.38%","37.23-36.63","7239000","42-30.28","Brazil","-5.39","28.91","12.03","14.17","241621.17","BRL","-","12.2","10.33","-","-","-"
"CNOOC Ltd","0.37","EQUITY","00883","Large Core","2003-05-31","381348","40259","Energy","418430","8.74","0.02|0.23%","8.8-8.7","9215718","10.88-8.45","China","-1.32","-5.13","-10.15","-6.01","389325.81","HKD","3","-7.73","754.24","-","-","-"
"Tata Consultancy Services Ltd","0.36","EQUITY","TCS","Large Growth","2004-12-31","11206","1151","Technology","409314","2484.3","2.6|0.1%","2493.05-2442","691376","2744.8-2051.9","India","10.81","-3.34","0.34","17.22","4752697.5","INR","3","6.75","18.86","-","-","-"
"PT Telekomunikasi Indonesia (Persero) Tbk Class B","0.34","EQUITY","TLKM","Large Growth","2007-09-30","1138141","54269","Communication Services","386503","-","-","-","-","-","-","10.24","11.45","23.74","22.82","465592416","IDR","-","21.04","21.65","-","-","-"
"Largan Precision Co Ltd","0.34","EQUITY","3008","Large Growth","2003-06-30","2419","298","Technology","385156","5485","40|0.73%","5490-5415","110","5635-3210","Taiwan","8.57","57.39","35.32","55.87","730392.31","TWD","-","43.67","30.69","-","-","-"
"MTN Group Ltd","0.33","EQUITY","MTN","Large Core","2003-09-30","42538","4491","Communication Services","370823","11921","59|0.5%","12060-11755","8897498","14338-10476","South Africa","-5.76","-9.56","-12.04","1.89","223407.11","ZAC","-","-1.95","-","-","-","-"
"Sasol Ltd","0.33","EQUITY","SOL","Large Value","2002-09-30","13197","1392","Energy","370289","39871","669|1.71%","39871-38902","1040293","43620-34655","South Africa","-2.75","6.57","-10.28","7.54","260694.81","ZAC","2","1.16","16.69","-","-","-"
"Itau Unibanco Holding SA ADR","0.33","EQUITY","ITUB","Large Value","2005-03-31","33450","2930","Financial Services","369619","11.78","0.09|0.77%","11.82-11.6","14112330","13.65-9.1","Brazil","-4.11","35.25","0.1","5","76719.61","USD","2","17.33","10.35","-","-","-"
